GameID,Age,HoursPerWeek,TotalHours,APM,SelectByHotkeys,AssignToHotkeys,UniqueHotkeys,NumberOfPACs,GapBetweenPACs,ActionLatency,ActionsInPAC,TotalMapExplored,WorkersMade,UniqueUnitsMade,LeagueIndex
142,23,20,800,129.8598,0.002315078,0.000333769,5,0.003472617,36.3934,57.5215,6.7587,36,0.00075276,11,4
144,18,70,2520,267.5586,0.027814934,0.00070816,10,0.005616099,34.6035,40.6025,4.1629,36,0.00085569,12,6
149,25,6,800,74.1174,0.000875,0.000205357,6,0.003517857,46.4122,71.8173,3.7944,34,0.00092857,5,5
154,25,20,700,101.6796,0.001406194,0.000427198,5,0.003453186,26.7979,54.5979,5.3144,22,0.0010324,4,5
158,18,10,160,150.5004,0.005666689,0.000631529,6,0.004625521,30.2222,45.5941,4.9077,14,0.001007,6,6
160,19,6,150,64.6416,0.000672344,0.000336172,1,0.002759413,53.5776,78.2944,4.2284,41,0.00063733,6,3
161,18,8,250,41.9094,0.000275751,0.000190905,0,0.002142372,54.4677,91.3069,3.6881,17,0.00066817,6,3
162,16,16,1000,128.0784,0.002753792,9.50E-05,4,0.003969259,35.393,56.4019,5.2711,27,0.00043048,8,5
163,16,28,500,161.3466,0.006109907,0.000577483,9,0.00413506,34.1209,47.1034,5.8466,48,0.0013475,9,6
168,22,4,400,90.7686,0.001610454,0.000392794,4,0.003469676,44.7424,59.5321,4.5698,15,0.00070703,6,4
169,20,14,730,162.0876,0.007596727,0.000571635,7,0.003986401,23.5303,51.034,5.7698,28,0.0026024,6,6
171,18,6,230,69.5076,0.00017507,0.000204248,4,0.001458917,45.0612,112.96,9.14,11,0.00058357,4,1
175,16,24,300,81.0702,0.001746793,0.000104286,0,0.00262019,47.48,75.0846,5.0796,14,0.00080822,6,3
178,22,8,300,157.332,0.007742665,0.000223473,1,0.003799033,33.0417,57.7716,5.8581,29,0.0018929,6,5
180,23,4,100,67.6194,0.001565762,0.000398308,4,0.001661905,49.4333,89.9174,7.1322,17,0.00083782,6,4
181,25,10,200,75.9642,0.000609665,0.000136864,4,0.00209028,45.1018,78.3095,6.5417,15,0.00093316,6,2
182,25,12,200,164.1114,0.003372032,0.000403892,7,0.004987601,40.4604,43.7815,5.6365,32,0.0012774,8,5
184,20,14,270,101.7864,0.001453176,0.000538213,2,0.004180122,22.569,54.6094,4.2961,15,0.00096878,4,4
187,25,8,100,79.128,0.00050077,8.99E-05,4,0.002754237,50.5327,67.1422,5.345,28,0.00043657,6,2
193,22,20,1200,120.7014,0.005495624,0.000239888,5,0.003612864,44.8387,60.9175,4.8089,31,0.00051612,5,4
194,18,20,800,108.5424,0.002100536,0.000398378,2,0.003078372,28.4762,61.9294,5.8353,11,0.0025351,4,6
196,18,28,800,84.1578,0.002368246,0.0006004,4,0.00278519,48.8675,77.7485,4.9042,15,0.00086724,6,5
201,23,2,30,66.7818,0.000685853,0.000168228,2,0.002406957,56.7784,97.9785,4.9355,19,0.00042704,6,3
203,18,28,2000,129.1464,0.00263107,0.000599729,4,0.005146063,25.0245,43.0827,4.1917,35,0.00083188,9,6
204,18,8,600,62.2194,0.001099196,0.000321716,0,0.002386059,44.3164,90.8989,4.5393,14,0.00071046,7,3
209,20,6,150,72.141,0.001237902,0.000393878,5,0.003376097,45.9164,68.8778,3.7528,24,0.00079713,8,3
210,23,20,100,83.9658,0.002672697,0.000376919,3,0.002912555,44.0476,78.0706,4.6118,10,0.00071957,3,4
212,17,56,540,199.6854,0.005146297,0.000453133,1,0.004790264,25.3831,33.9054,6.7095,29,0.0020876,7,5
213,29,12,800,66.6738,0.000320895,4.58E-05,2,0.002292106,38.5126,72.16,5.46,20,0.0010314,9,4
215,27,24,250,73.9722,0.002647278,0.000454884,7,0.002684564,58.8858,88.6889,4.4111,24,0.00058166,8,2
219,21,8,730,130.941,0.004758302,0.00075655,10,0.003384566,36.8047,57.2471,5.7765,11,0.00059728,2,6
220,27,8,280,55.047,0.000642809,0.000126454,0,0.002529085,62.8452,83.8667,3.9333,22,0.00052689,6,2
223,16,10,1600,181.104,0.00563541,0.000581793,10,0.005007985,20.8037,39.2255,5.6993,30,0.0017226,8,6
225,22,36,1000,98.6694,0.004474848,0.000462915,1,0.002391729,52.6957,62.5806,5.828,17,0.0005915,3,4
226,18,6,50,107.4186,0.003028577,0.000310623,4,0.003559226,37.3723,56.0436,5.0873,24,0.00095776,7,4
228,18,4,140,119.8716,0.00254677,0.000416528,3,0.002784786,42.6609,67.6068,7.1496,20,0.0023445,5,4
229,18,24,200,111.8556,0.004400404,0.000625494,0,0.003917567,48.1798,54.1513,4.3529,31,0.0010096,8,5
230,24,10,200,87.162,0.000398548,6.64E-05,1,0.002634842,38.8354,60.0168,6.1975,21,0.0011181,7,3
234,16,24,50,109.038,0.004300867,0.000177855,6,0.003395421,28.555,63.1429,4.8571,13,0.0010186,6,2
235,16,42,700,163.4436,0.005399935,0.000526231,4,0.004663212,27.2557,42.4514,5.3681,32,0.00084197,9,6
240,20,16,900,127.6602,0.002737658,0.000577128,5,0.003344383,22.6667,64.6372,6.4779,21,0.0026637,6,6
244,23,12,600,142.5096,0.004059267,0.000543574,7,0.003480624,39.7778,56.7456,6.6977,33,0.0012537,9,5
246,19,6,550,106.4316,0.001608439,9.35E-05,0,0.003198175,25.1294,64.7953,5.7251,11,0.0010099,3,5
250,23,8,700,68.6388,0.000441021,8.82E-05,2,0.002734329,84.6087,75.0968,4.6559,25,0.00061743,3,5
251,23,40,2000,128.0802,0.002780837,0.000302863,4,0.003551762,25.2451,50.9612,6.1395,20,0.00106,8,6
256,20,16,625,189.1506,0.014199348,0.000218758,3,0.003758651,21.1915,48.254,5.6561,18,0.0012728,4,6
257,17,8,100,98.634,0.002241685,6.52E-05,3,0.003101866,52.4388,70.9076,5.1849,19,0.0014336,7,3
260,35,14,1300,38.6472,0.000264364,0.000107704,0,0.002457604,54.496,100.988,2.9482,20,0.00054831,7,3
263,22,16,450,114.942,0.001744367,0.000299987,2,0.002577663,31.2208,61.5517,8.1379,22,0.0013888,7,2
264,16,28,750,211.0536,0.016280083,0.000680606,7,0.004954808,33.1129,41.7143,4.706,21,0.00088479,8,6
265,21,10,350,77.7252,0.001308278,0.000407775,1,0.002395678,37.5429,73.3333,5.7234,16,0.00066263,4,5
266,28,6,1200,62.8314,0.000969892,0.000190663,4,0.002395716,44.0139,84.2907,4.7232,23,0.00059686,9,4
267,22,6,160,134.571,0.003169386,0.000469539,4,0.004871464,28.5921,49.506,4.4849,25,0.0018341,7,5
268,31,10,400,119.232,0.003384716,0.000407797,2,0.003221597,30.6242,68.4557,5.9304,16,0.00063209,5,4
272,26,8,600,83.2656,0.00413375,0.000344479,4,0.003284035,80.6761,69.5385,3.5664,14,0.00050524,7,4
280,21,16,612,109.4994,0.002078967,0.000185924,2,0.00451288,41.2632,52.6742,4.2734,19,0.0015212,7,4
281,23,20,1300,110.7312,0.003174056,0.000395489,6,0.004360524,31.8228,48.1395,4.1279,27,0.00057802,7,5
284,25,4,180,107.4084,0.001604398,0.000388326,8,0.00396501,30.5633,51.4124,4.8144,22,0.0011445,8,4
288,32,10,400,53.8788,0.001312051,6.91E-05,4,0.001588272,21.325,105.3416,5.677,14,0.00047352,7,2
290,31,12,300,72.0948,0.003530229,0.000104239,1,0.00228631,73.9634,89.1793,3.7356,37,0.00042391,7,3
297,18,6,180,162.4398,0.011680389,0.000520782,5,0.004067057,33.7914,55.8293,4.6159,13,0.00081837,7,5
299,21,20,1000,111.0876,0.00314119,0.000803906,7,0.003543143,25.6371,55.6303,5.063,12,0.00064015,4,5
301,19,14,450,117.4128,0.005267559,0.000459866,5,0.003239967,53.013,53.7032,5.4129,18,0.0018604,6,5
302,27,10,150,164.4894,0.008501586,0.000571856,8,0.004902708,40.0312,43.3468,4.633,30,0.0008616,9,5
305,20,28,1600,195.1986,0.00601194,0.000336332,5,0.003930884,30.9462,41.5829,7.6631,13,0.0014084,5,6
312,17,28,730,116.2062,0.004315562,0.000342087,5,0.003499816,41.4792,59.1429,5.2368,29,0.0012105,5,5
314,17,14,300,207.576,0.010294786,0.000724185,5,0.00576508,20.5235,37.9901,4.9458,34,0.002059,7,6
316,20,18,770,193.6086,0.007317992,0.000652098,7,0.005303733,17.9945,39.1803,5.6421,28,0.0028692,6,5
318,17,36,720,335.499,0.035638249,0.000137356,5,0.004761687,24.2551,43.0048,5.7007,28,0.00056659,11,5
320,19,8,500,188.76,0.010450774,0.000302759,2,0.004339538,22.2383,47.0904,5.9328,23,0.00063916,6,5
321,30,12,500,62.898,0.002032802,0.0004158,6,0.004019404,58.5591,60.3678,2.454,26,0.00072765,6,3
329,24,24,1000,146.6856,0.00495663,0.000333619,4,0.004313221,28.8864,48.9061,5.3066,30,0.0015847,7,6
333,16,28,300,76.8504,0.000714417,0.000357209,1,0.001947364,42.5714,82.5089,7.2249,18,0.00038025,3,2
336,23,4,415,59.181,0.00163768,0.000545893,4,0.002537925,62.5909,84.4528,3.883,24,0.00083321,8,4
338,31,4,500,100.4322,0.000686271,7.52E-05,3,0.003797992,45.6675,66.7822,4.8589,25,0.0010905,9,4
339,16,20,500,157.9002,0.008130081,0.000207871,4,0.00297949,18.5,52.9302,7.1318,13,0.0007622,7,6
342,22,10,200,87.2484,0.000250529,5.57E-05,0,0.003423895,27.2787,49.9512,4.7967,17,0.00055673,3,3
350,16,14,150,130.4472,0.002257278,0.000570806,10,0.003567537,37.3869,50.5018,6.3309,21,0.0010897,7,4
351,22,24,1000,189.375,0.010655402,0.000819646,6,0.006107941,30.031,34.7148,3.9626,46,0.0011191,9,6
357,21,24,1000,286.4538,0.017851845,0.000717041,6,0.006206112,20.4232,30.9801,5.7171,30,0.0013723,6,7
361,21,10,350,178.368,0.005271462,0.000878577,4,0.00372947,17.1594,42.5962,7.4519,20,0.00091444,5,6
363,33,4,120,68.6598,0.000302046,0.000322876,0,0.002395534,48.6812,87.513,5.413,23,0.0005416,6,1
366,23,12,500,136.5768,0.002483105,0.000179193,2,0.002303912,34.7416,61.2889,10.0333,17,0.00058878,4,5
371,25,10,400,262.611,0.015699405,0.000409226,7,0.004501488,25.9917,33.8017,7.4215,22,0.0024182,6,6
378,19,20,730,91.308,0.003788959,0.000383354,4,0.003093574,42.0578,78.6052,4.4265,21,0.00074888,5,3
381,23,20,1800,176.5188,0.007170979,0.000383475,10,0.004141528,24.644,44.8519,5.9877,23,0.002352,7,6
383,16,42,2200,209.8398,0.013061048,0.000769712,2,0.004389763,27.8791,48.3616,6.474,21,0.0018281,8,6
384,22,40,480,108.4692,0.002186696,0.000441014,3,0.003371922,32.7104,56.654,5.4251,23,0.00098309,6,3
388,18,10,430,166.902,0.008271028,0.000443925,4,0.003130841,31.4286,52.6866,7.3209,15,0.0018458,5,6
389,21,12,350,89.9394,0.001259391,0.00068398,10,0.002725062,31.616,68.6056,5.8367,20,0.0011183,7,4
392,19,20,639,197.5674,0.014814309,0.000273075,5,0.004574003,40.1297,45.1343,4.8085,25,0.00093301,8,4
393,22,10,1000,91.866,0.003012876,0.000435321,6,0.004685424,36.3039,49.7311,3.088,29,0.0014091,7,6
394,21,12,730,166.5636,0.002171249,0.000319693,3,0.005528026,23.1111,38.6699,5.1133,31,0.0019048,6,5
396,19,28,360,99.2874,0.001925926,0.000207407,7,0.003155556,53.9434,60.7887,5.1268,18,0.0013926,7,3
398,24,16,1250,216.6852,0.011957259,0.000395749,6,0.005691241,21.6119,32.6225,5.0083,33,0.00068785,8,7
400,21,24,750,130.5,0.004479419,0.000514528,6,0.004297821,31.7314,48.5211,4.7923,24,0.0026029,8,6
401,19,12,480,52.8438,0.001540674,0.000366827,4,0.00256779,65.0345,82.24,3.44,20,0.0011445,6,3
403,17,24,365,200.9172,0.021356313,0.00070251,8,0.00360622,54.3652,62.9957,4.6883,20,0.001046,6,5
407,19,14,1000,144.6822,0.005275382,0.000309666,5,0.004888299,34.1769,42.6516,4.2873,22,0.002046,6,5
408,23,12,300,125.7894,0.002228461,0.00065801,3,0.004570977,36.5231,47.5701,4.6564,32,0.00094753,8,5
411,23,28,1000,113.601,0.002717159,0.000449294,4,0.003637142,22.7456,60.0471,5.2588,22,0.00087719,4,6
418,16,4,300,157.9686,0.006376781,0.00055108,8,0.005504238,29.2745,41.8308,4.1681,41,0.0011874,11,6
422,20,6,100,61.7502,0.001604413,0.000360542,6,0.001910874,72.4952,85.5472,5.3585,16,0.0010095,5,2
423,22,10,700,83.085,0.000855174,0.000301826,5,0.003219478,31.451,57.7344,4.6289,20,0.0011067,9,4
424,32,2,300,38.2104,0.000915704,0.000152617,5,0.001678791,73.5573,123.4848,3.3182,14,0.00059775,6,4
426,18,24,400,83.376,0.000518938,0.000120333,5,0.002955687,58.8878,67.0636,5.2875,29,0.0005039,7,3
434,23,10,500,119.5992,0.004280868,0.000447761,9,0.003995929,37.2925,48.4958,4.7487,31,0.0011601,11,5
435,19,10,700,129.9594,0.002072839,0.000412339,6,0.004446574,24.6131,54.5865,5.1504,25,0.0014265,6,5
436,18,12,450,78.825,4.55E-05,0.000204732,3,0.003184713,45.6978,72.9714,4.6786,7,0.00034122,4,3
438,16,12,600,81.711,0.00081314,0.000108419,1,0.003333875,49.1755,66.5691,4.3902,20,0.00079959,7,5
439,25,20,800,76.5426,0.001061473,0.000250534,6,0.002749281,57.1442,82.9353,4.9448,23,0.00057359,6,3
442,19,6,50,88.1628,0.001505596,0.000189681,1,0.002702959,51.8062,81.2632,5.5132,15,0.0011737,6,4
443,29,20,1000,134.2992,0.00360351,0.000135784,0,0.003008147,10.8571,54.5139,7.2257,32,0.0007207,6,5
444,22,12,100,66.8676,0.002616026,0.000321571,7,0.003050582,75.7029,75.5442,3.4274,19,0.00051278,7,3
449,21,2,50,37.2018,0.000396646,0.000113327,0,0.001572416,61.7455,139.2072,4.2072,18,0.00045331,6,3
454,24,24,400,207.8286,0.020629485,0.000428082,6,0.003913894,51.6859,49.5417,4.7448,12,0.0012435,6,6
455,17,4,720,203.2488,0.009916833,0.000387297,6,0.003658934,20.5587,48.1894,7.7493,20,0.0012944,8,6
457,21,8,650,169.3164,0.009296994,0.000445746,6,0.004239138,49.8065,52.5064,5.4571,30,0.0015283,8,5
458,19,10,400,172.4688,0.003761308,0.000640995,10,0.005617774,28.0043,42.5231,5.0829,34,0.00086474,12,5
464,20,6,1000,96.756,0.002030248,0.000514918,6,0.003633849,29.0894,56.2105,4.4737,27,0.00067675,7,4
466,22,16,500,297.0672,0.031281946,0.000645318,7,0.004414997,25.6638,44.3647,5.8408,50,0.00060059,9,6
473,17,10,500,109.6176,0.00381191,0.000546463,4,0.003798582,26.9155,46.0211,4.5825,24,0.0011063,7,6
475,19,6,200,62.1042,0.000777998,0.000282908,5,0.003364588,37.7711,71.1111,3.3814,28,0.00082852,9,4
476,19,56,1500,151.9794,0.009491758,0.000563187,4,0.005315934,32.4456,43.3075,3.6227,39,0.0010302,7,6
480,19,12,800,133.884,0.005592032,0.000347763,7,0.005675495,37.828,40.7059,3.3922,21,0.0011685,4,6
490,20,24,233,69.1764,0.000330583,2.64E-05,0,0.001996721,44.1333,93.404,6.3113,15,0.00048926,4,4
497,27,12,416,149.094,0.003334844,0.000582788,3,0.004565175,26.3772,45.1915,5.2057,23,0.0012789,6,6
506,26,12,200,111.342,0.004375405,0.000300954,2,0.00236133,18.8515,65.098,7.1765,12,0.00069451,4,5
508,25,4,800,87.2346,0.004684838,0.000425894,1,0.003087734,53.7391,79.5862,3.6983,14,0.00087841,4,6
509,20,24,500,135.414,0.002131358,0.00051732,8,0.005007656,27.4865,50.6942,4.6302,26,0.0015623,8,6
511,18,16,600,125.832,0.000655684,3.07E-05,1,0.003657487,38.809,57.2773,6.056,20,0.0011577,7,4
512,27,6,120,58.6008,0.001649115,0.000376114,3,0.002112024,37.5,104.9863,4.6712,10,0.0010126,4,3
513,24,42,1200,186.7284,0.007943017,0.000364498,8,0.00387279,23.2756,47.4196,7.0902,23,0.00063787,7,6
514,16,8,1000,79.2294,0.001579552,0.000276146,3,0.003313745,35.5318,66.9467,4.09,20,0.00078425,9,4
517,32,20,1000,145.7052,0.00217092,0.000428563,5,0.002655688,36.4456,61.8095,10.2513,27,0.00094846,8,4
519,17,16,150,115.536,0.002781529,0.000391574,1,0.002795031,25.4369,73.4879,6.9179,18,0.00086416,7,4
523,17,56,1825,165.321,0.002385513,0.000310383,7,0.004460644,16.2072,40.1272,6.3161,29,0.0016761,7,6
525,17,10,780,174.2208,0.007967358,0.000411883,6,0.004453483,38.7362,45.9769,5.4971,24,0.0012743,8,5
526,16,12,350,129.5088,0.003193273,0.000144492,1,0.002730898,48.1915,63.6614,7.6878,20,0.00089585,6,4
527,23,4,400,156.9822,0.009796018,0.000299974,4,0.003215344,34.9942,64.5831,6.5802,27,0.0010593,6,3
529,17,36,1260,82.5732,0.001679813,0.000584283,6,0.002118025,39.9298,77.2414,6.4483,8,0.0016068,4,4
531,18,14,500,135.3252,0.00357184,0.000302454,2,0.002966932,34.5561,47.7864,7.3447,18,0.0011954,10,6
532,22,20,315,54.0792,0.001257583,0.000295902,3,0.002182276,37.1724,111.661,3.9492,14,0.0013316,5,1
535,19,24,200,85.0974,0.001286369,0.000152025,3,0.003379643,54.375,76.1522,4.5848,26,0.00099401,7,4
536,22,10,500,67.1406,0.001152074,0.000260146,5,0.00384644,56.5437,55.7295,3.029,15,0.0011335,3,5
540,24,18,750,157.167,0.004756011,0.000265205,3,0.00519802,20.3003,38.2177,4.5544,16,0.0017857,6,6
542,19,8,480,156.2238,0.006424053,0.000733712,7,0.00464684,25.0423,40.3088,5.1193,29,0.0015653,7,4
545,25,10,700,127.887,0.002350026,0.000373868,5,0.004400957,46.9684,52.0097,4.8519,35,0.0020402,9,5
546,23,20,300,94.2774,0.002596525,0.00061822,6,0.003140559,40.4211,63.0026,4.9659,35,0.00091497,7,4
547,16,56,1260,114.2112,3.56E-05,5.34E-05,2,0.002421308,35.4667,62.7353,8.7426,22,0.0014599,6,3
557,18,12,2000,133.3434,0.003499604,0.000518809,6,0.004688149,34.6935,46.4869,4.7807,21,0.001264,8,4
560,17,14,600,99.5436,0.001524097,0.000352949,5,0.003481358,38.7407,51.871,5.212,24,0.00088237,4,5
568,20,10,600,114.8658,0.002847463,0.000363727,7,0.004712864,37.4084,50.9724,4.1191,33,0.00089373,9,5
569,32,20,250,76.0464,0.001613607,0.00043611,4,0.0019843,66.9333,100.4835,7.1209,19,0.00045792,5,3
570,21,4,500,86.7318,0.00327441,0.000553942,6,0.003422128,30.296,63.554,4.0072,28,0.00078783,5,4
572,28,20,600,91.3278,0.002084636,0.000469043,10,0.003022723,50.9364,78.9885,4.9885,20,0.0017719,6,5
576,23,4,200,100.4274,0.002728565,0.000469567,1,0.003604244,34.3746,59.6338,4.6549,18,0.00092644,8,5
578,25,8,600,99.8568,0.00251629,0.000423796,6,0.004079038,34.1368,58.1299,4.0844,24,0.00099327,7,5
581,21,8,800,120.9714,0.007152193,0.000399361,5,0.003394569,38.3914,62.7166,4.607,26,0.00060812,6,5
584,24,12,10,44.5248,0.001870009,0.000151622,0,0.002046902,66.35,97.9259,3.358,11,0.00060649,3,2
585,28,8,312,131.097,0.00270252,0.000253361,5,0.003648402,36.986,44.9074,5.8843,17,0.0018411,7,5
588,17,18,430,129.3624,0.001593489,6.88E-05,0,0.004167144,38.9697,48.2036,5.5131,32,0.00054454,8,4
590,19,16,730,60.4956,0.000830803,8.21E-05,2,0.002194962,103.9624,93.3271,5.2103,36,0.0012924,7,1
591,17,8,400,87.531,0.001468374,0.000263554,4,0.003463855,59.3443,53.3478,4.2609,13,0.00099774,7,4
600,17,12,300,89.031,0.000710109,0.000153161,1,0.003104985,53.5856,63.426,5.1435,26,0.0014341,5,1
601,25,8,110,133.6512,0.003419363,0.000683873,4,0.003092293,39.5728,54.1154,7.2212,12,0.00098121,5,3
604,21,10,200,68.1486,0.00163942,0.000392537,0,0.004133186,29.3034,56.9832,2.7374,16,0.00076198,4,3
607,22,24,1000,55.077,0.001092645,0.000115015,5,0.002702858,60.9626,81.0426,3.5585,14,0.00076198,8,4
608,18,42,1700,70.7214,0.002396166,0.000386478,4,0.004277028,60.3142,63.0723,2.7108,25,0.0011594,9,6
609,16,14,1000,165.0564,0.004706808,0.000684892,7,0.005085684,27.7471,39.7249,5.0401,28,0.0013844,7,6
611,21,42,1260,143.7696,0.003326713,0.000993049,6,0.004170804,21.8167,45.7778,5.8532,17,0.00066203,9,6
614,24,12,700,99.5442,0.003865706,0.000450117,3,0.003133164,40.0791,71.0986,4.9296,24,0.00081197,8,5
616,20,24,600,125.8662,0.002678605,0.000530042,6,0.003189717,31.8929,71.3353,6.724,28,0.0012115,11,5
621,16,20,450,124.5054,0.003002681,0.000428954,5,0.003069705,32.0702,58.2533,6.821,21,0.0015952,8,3
623,18,28,1200,136.485,0.008672356,0.000396904,3,0.004098035,38.6796,55.4576,4.1356,26,0.0011014,6,5
626,24,10,200,148.0326,0.005376968,0.000280453,10,0.004003714,35.7869,52.8213,5.7126,28,0.0014603,8,5
628,18,12,500,89.5368,0.002862759,0.000341822,5,0.002456845,69.2281,72.4174,5.5565,25,0.00064092,5,2
629,37,14,800,327.7218,0.033115533,0.000556876,6,0.002970003,29.3671,54.1,9.5375,13,0.0010766,5,5
630,19,10,300,121.377,0.002363636,0.000439394,2,0.003166667,50.0769,52.6699,6.5837,27,0.001697,6,3
631,21,16,600,187.4826,0.01167052,0.000664076,7,0.007034286,33.38,33.2238,3.1206,27,0.0013282,8,6
632,18,10,1000,141.735,0.003981367,0.000424526,3,0.003614209,24,50.2857,6.4825,26,0.0017899,8,5
633,16,8,92,100.3074,0.000140722,7.82E-05,3,0.003877666,32.3401,58.0484,4.6694,15,0.0012821,6,3
636,16,8,800,118.9332,0.00272353,0.000264155,0,0.003197187,36.7314,70.4501,6.3989,26,0.0015394,10,5
637,19,10,900,158.868,0.006709823,0.000766371,8,0.005193386,26.327,41.438,4.5118,33,0.000693,8,6
638,19,20,2500,125.118,0.006115267,0.00067674,5,0.004269613,29.3526,51.2277,4.1124,39,0.0011074,6,6
643,22,28,1000,93.741,0.00427146,0.000273373,4,0.003280481,42.9895,69.2083,4.1875,20,0.00092264,4,6
645,21,16,500,101.6526,0.001983008,0.000237961,2,0.002388423,23.1259,72.2214,7.3247,22,0.00097828,8,2
649,19,20,1400,172.1688,0.007783254,0.000311954,7,0.005069254,27.6667,43.2246,4.64,27,0.0022929,7,6
650,27,10,220,84.8274,0.001821677,0.000415973,2,0.002395433,37.6867,86.5868,6.4251,13,0.0017069,6,3
651,29,4,100,86.5122,0.000697496,6.97E-05,1,0.003330543,39.6211,67.0995,4.623,12,0.00071493,3,2
652,17,8,730,114.2478,0.000791855,0.000113122,1,0.002036199,24.1509,79.037,10.2222,9,0.0012443,4,3
654,26,8,730,93.5688,0.000646802,6.69E-05,2,0.003367829,42.4533,65.1391,4.9669,17,0.001472,5,3
655,18,28,700,128.9046,0.003751528,0.000588325,5,0.00507335,35.1493,43.3795,4.1099,31,0.00074114,9,5
656,25,12,800,138.1902,0.00656168,0.000546807,4,0.004905637,28.7412,40.4204,3.9618,18,0.0011561,6,5
664,28,8,500,72.816,0.000284455,0.000124449,0,0.003129,22.6514,63.2045,4.2955,13,0.00094226,3,5
666,21,28,800,85.395,0.001365147,0.000296771,3,0.002581909,36.8837,64.5517,5.7471,16,0.0007716,4,5
672,23,8,400,114.7236,0.002289592,0.000133699,3,0.003008223,31.3296,64.8222,6.3278,24,0.0016712,7,2
674,23,8,400,141.6378,0.002463519,0.000446352,3,0.003519313,26.0342,53.2976,7.6902,18,0.00070386,10,4
680,16,28,1000,197.7714,0.009879586,0.000808146,6,0.004020527,25.4949,40.1608,6.6683,16,0.0010708,6,6
681,28,12,500,48.0486,0.000844286,0.000114093,3,0.00157448,65.4706,114.4348,5.4203,10,0.0013007,4,3
683,20,28,999,110.1012,0.003968579,0.000439817,6,0.002649129,50.4496,67.444,7.1004,23,0.0015547,8,4
685,19,8,500,125.103,0.002571301,0.000459605,2,0.003627149,23.079,51.6986,6.2192,21,0.0014285,7,4
689,22,14,700,34.9278,0.000265273,5.63E-05,2,0.002411576,86.6622,94.7467,2.6567,33,0.00048232,7,2
691,20,12,200,73.5696,0.001969653,0.000448122,5,0.003314019,58.9274,69.1572,3.8491,25,0.00083372,8,4
692,18,8,400,87.5064,0.001912549,0.000386019,8,0.0023863,34.4296,85.0588,6.2647,15,0.0018599,6,2
